Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
0,00:00:00,00:00:07,誰でもかれきます,3,800,7210
1,00:00:07,00:00:27,鉄道 ますこれ 教育の問題点 借りたほうがいいすかね 自分が考えた教育の問題点はまあ多分 みんなも考えてること 一緒かもしれないですけど 読解力が年々低下しているということです,3,7210,27740
2,00:00:27,00:00:57,で時計の2018年 が確かに悪いんですけど このデータはなんか問題がコンピューター形式になったからだ とも書いてあったんで まぁそこまで 悲観的になる必要はないのかもしれないのですが それでも 2015年も低かったりするんでは一番直近の問題点は 読解力 かなと考えてますよ その読解力の中でも情報を探し出す 評価し 受講 スキルする スキルが低い,3,27740,57540
3,00:00:57,00:01:12,という で流れてます はい その問題の解決策として,3,57540,72010
4,00:01:12,00:01:31,ほらもう自分の考えて食べていいですかね 僕のカテゴライズ かをちょっと誠あれ 小学生 なんですけど という 練習した方がいいのかなと考えています,3,72010,91790
5,00:01:31,00:01:58,でも 主な内容としては 何か一つの国に対してどれだけ 関連する語句を思い浮かべることができるかっていうまあ 授業形式のことをやってもらう形です 今こうすることによって検索ワードがいっぱい増えるんでより自分が求めてる情報が得られるかなと,3,91790,118300
6,00:01:58,00:02:26,ダークマン 5語彙力の向上にもつながると考えています 車 デメリットとしては その人の 個人個人で思い浮かべる 関連ワードは様々なんでも正解は不透明になるってのが まあ 考えられてデメリットですね でもそれでモチベーションが上がるかどうか ってのが まぁ 若干問題点 かなと考えています,3,118300,146880
7,00:02:26,00:02:56,アホがなかったっけ これで別のあと何か言ってた気がするけど そういう困難 実現可能性かどうか ちょっと考えてなかったんですけどもう結構 終わりましかなとは思ってるんですけど 今聞いた デメリットをどう解消するかがカギとなってきてると考えています,3,146880,176490
8,00:02:56,00:03:01,,3,176490,181120
9,00:03:01,00:03:03,,0,181144,183344
10,00:03:03,00:03:11,読解力のないで持っていて 徳利 レベル 1以下はどうかしているっていうところかな っていうのが,2,183360,191350
11,00:03:11,00:03:38,問題となっていて またこの情報での問題という風にも考えています 制度としては それが実施されている学校もあるんですけど 総合学習の時間 みたいなのお尻 太もも 程度に負けずにその連続した方がいいのかな っていうふうに考えていて,2,191350,218239
12,00:03:38,00:04:08,ショコラのプレゼン だったりとかと ディベートとか 水換えしたって が実施した方がいいかなっていう風に思います で心を特徴として は いつもの 失業の時間とかも長めに設けるとか 意外と それで実施するプレゼントが自分とする事に今まで 重きを超えていたと思うんですけどそこで 他の班の子だったり 相手チームが出ているようでし 令っていうのだからよ っていうの どこから引っ張ってきてるのか っていうところに その生徒の注意を迎えられるように,2,218239,248110
13,00:04:08,00:04:36,幽霊 指導 あったらいいかなと思うし その小学生の前とかでも先生が提案した意見に対して なんでそういう考えだったんだろう とか どうして っていうのを追求する癖をつけられるって言うのがあればなっていうのと自分もやっぱり そのディベートとかで負けたくないと思うので その情報を調べた時の情報源とか書き手のその職種とかまでをチェックする癖が強くっていうのが メリット かなっていう風に思っていて,2,248110,276896
14,00:04:36,00:04:58,デメリットとしては 事前準備のに熱意の差が出てしまうっていうのはあるかな っていうのとそのやり方次第では ただ口が立つ子が目立ってしまうのでいいのにってのと喋りたくない方に任せになってしまっていうのがあるかな って思い そこは どうにかしたいなっていうふうに考えていて 導入にあたって 困難な点としては その,2,276896,298680
,,,,3,,
,,,,1,,
,,,,5,,
,,,,4,,
,,,,2,,
,,,,2,,
,,,,3,,
,,,,4,,
,,,,0,,
,,,,0,,
,,,,1,,
,,,,0,,
,,,,1,,
,,,,0,,
,,,,1,,
,,,,2,,
,,,,1,,
,,,,3,,
,,,,4,,
,,,,5,,
,,,,1,,
,,,,0,,
,,,,2,,
,,,,1,,
,,,,3,,
,,,,4,,
,,,,2,,
,,,,2,,
,,,,4,,
,,,,3,,
,,,,0,,
,,,,1,,
,,,,0,,
