Order,Text,,
0,じゃあ。なんか、自分が思ったのは、,,
1,うん。,,
2,その…めちゃくちゃ王道にやるか邪道でやるかで人気が出そうで、,,
3,うん。,,
4,売上を上げるためにはゲームとかグッズの展開ができる、,,
5,もしくは聖地巡礼？で、地域にお金が落とせるっていう,,
6,うん。,,
7,どっちかを取っていくべきかなと思って。,,
8,うん。,,
9,いやでもいろいろ考えてちょっとあれだったのが、その…あ、時代背景とかは結構…,,
10,参考にしとかないと今見てる人から人気が得られないかなと思って、,,
11,うん。,,
12,最近の平成とか令和っていうのが、,,
13,よく戦争がない平和な時代とか言われるから,,
14,うん。,,
15,なんかバトルものとかよりも日常系アニメのほうが,,
16,うん。,,
17,人気が出るかなって思って。ただその、女子高生の無駄遣いとか男子高校生の日常とかそういうのは出ちゃってるので、,,
18,みんなが納得しそうな物って考えたときに、,,
19,うん。,,
20,通学路？,,
21,うん。,,
22,ってみんなあるけど、あれ徒歩の人もいればバスとか電車の人もいるし、,,
23,ひとりひとり違うはずだから、そういう小学生とか中学生、高校生,,
24,だいたい学生の、通学路での無駄な会話だとか、そういうのあるよねっていうのを、,,
25,うん。,,
26,あるあるみたいなものを,,
27,うん。,,
28,アニメにできたら多分そんな…一話完結で見やすいし、,,
29,うん。,,
30,1クールで収まるかなっていうことと、,,
31,うん。,,
32,で、めちゃくちゃ王道だと魔法少女系とか、,,
33,うん。,,
34,もう原型があるかなってなんとなく思って、,,
35,うん。,,
36,で、そこに邪道要素を加えるとしたら、,,
37,なんか…32歳ぐらいのOLが主人公の魔法少女ものとかはやってもいいかなと思ったけど、,,
38,そこはまだ、そんなにストーリーが深まらなかったかな、って感じです。,,
39,で、多分ゴールデンタイムのアニメはもう固定化されてるから、放送するなら深夜枠かなー、とか。,,
40,ふんふん。,,
41,時間帯はそんな感じかなって思いました。終わりです。,,
42,どうしましょうか。,,
43,じゃあ。私も今言ってくれたみたいな感じで、,,
44,まあメディアミックスは普通に欲しいなって思って。漫画とかスマホゲームとかが同時制作…,,
45,なんか、ヒットしてるの考えた時、漫画原作とかゲーム原作とかが多いけど、,,
46,まあ原作から考えるって言ったらなんか、ちょっと今回の趣旨と違うかなというか、,,
47,ちょっと難しいなって思ったので、メディアミックスで、アニメスタートでも同時期で,,
48,漫画とかスマホゲームとか、同時進行できればいいかなと思って、,,
49,あとなんか、今までヒットしてるのを考えた時に、結構オープニングが,,
50,なんか流行ったなーって思って。オープニング曲のキャッチーさとか、,,
51,いろんなとこで流したりとか、そういうのは、まあ普通にヒットのために,,
52,必要かなというか、要素としてありかなって思いました。,,　
53,で、シナリオはあまりちょっと思い浮かばなかったんですけど、,,
54,結構王道な感じで考えて。ヒットさせるってなった時に、結構もう…なんか、,,
55,新アニメ最初から全部チェックしてるみたいな層よりは、結構ライト層というか、,,
56,そこら辺を取り込むのが、「ヒット」ってなったらいいのかなと思ったから、,,
57,まあファンタジー的な、冒険物みたいな感じで、取っ掛かりやすい、,,
58,老若男女取っ掛かりやすい感じがいいのかなっていう風に思いました。,,
59,笑いあり涙あり的な感じの。,,
60,で、私もなんか、今意見聞いて思ったんですけど、その、たぶん…今言ったんですけど、,,
61,なんか、最初から見る人ってたぶん少なくて、,,
62,何話かしてめっちゃ人気出るっていう感じかなと思ったから、,,
63,1わ完結っていうの結構、いいかなって今聞いてて思って、まあでもそうなったら,,
64,ちょっと冒険ものとかは、ちょっと難しくなってくるかなと思うから、,,
65,1わ完結だったらまあ、さっき言ってくれた日常ものとかが入りやすいのかなっていう,,
66,感じで思いました。すみません、ちょっとシナリオとかはあんまり考えられてないんですけど、以上です。,,
67,じゃあ次僕が言います。,,
68,えっと、僕はなんかまず、アニメーションが売れる条件みたいなのを,,
69,調べてみたんですけど、その中でもちょっと、これいいなと思ったのが,,
