Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
0,00:00:03,00:00:27,かけながらでも軽くきます 僕が調べたのは日常は何が原因なのかなって調べましたでなんか 僕は知らくださいとだと色々あったんですけど なんか自分が興味 惹かれたのはメタボリックシンドロームと日常 我慢 水に関係がある,2,3424,27424
1,00:00:27,00:00:43,ていうことです これは実際には 論文とかでも紹介されていてね このメタボリックシンドロームをなんとかできたら 認知症もまあその間接的に買わされるということが報告されています,2,27424,43974
2,00:00:43,00:01:12,でもその対応と対策として運動が特に挙げられてて電動ガンマン日村の予防にもなるということが多くの論文で報告されていましたで 特にその運動の辺りも頭を使うスポーツ結構 その単純な動作のスポーツよりかは 例えば 戦略とかを用いたスポーツの方が 今は日曜に効果が,2,43974,72474
3,00:01:12,00:01:40,高いということがわかりました ですので 僕が提案させていただくのは 松戸 ゲートボールをもうちょっと 何て言うんでしょうね なんか アクティブスキルと言うかもうちょっと活発な ゲートボールにできたらなと考えてますでまずなんかゲートボール,2,72474,100104
4,00:01:40,00:02:04,お手柄 すごい公園でやるイメージなんですけど ま これはできたら ですけど なんかもうちょっとフィールドを その専用のフィールドがあればいいのかなとなんか 高低差があったりとかそういった戦略もしっかり 組み立てれるようなフィールドがあったらいいのかな,2,100104,124664
5,00:02:04,00:02:17,持ってます 提案と自分 これしかなかったんですけどゲットボールってで チーム戦 らしくて なんかその チーム戦 を嫌って,2,124664,137894
6,00:02:17,00:02:43,ゲートボール人口が減っているという記事もあってなく あそこは別チームじゃなくても個人での方が三流 もしやすいしより多くの より多くの人に ゲートボールに触れてもらえるのかな と後そのゲートボールってすぐ お年寄りの印象が強いせいで若者がしにくい,2,137894,163444
7,00:02:43,00:03:14,その若者は 何も お年寄りになるんでなんか 若者もその若い間に ゲートボールに触れる機会があったら より お年寄りになってからも参入しやすいのかな と思ったんで もうちょっとこれは具体的に思いつかなかったんですけどその若者への ゲートボールの魅力の発信とかにも力を入れていけるたらいいのかなと考えました とりあえずこのところ,2,163444,194574
8,00:03:14,00:03:28,じゃあ私 あんまり,2,194574,208324
9,00:03:28,00:03:38,規制ってのちょっと薄いんですけど 私はその軽度認知障害の状態の人にへのアプローチが結構大事なのかなって思って,1,208337,218358
10,00:03:38,00:04:03,こ れ ずっと信頼性のまとめサイトみたいなところのデータだったんですけども 軽度認知障害の段階であれば通常の段階まで戻せる可能性があるということだったので何か そこから認知症に移行するまでの時間を長くできたりとか通常の状態に戻す方向に,1,218358,243323
11,00:04:03,00:04:32,デバスの認知症の絶対絶対数が減っていくのでいいのかな と思ってかもまず診断された人に尽くす 軽度認知障害っていうのは認知症になりうる 病気ですよってでもちゃんと対策すればちゃんと正しい正常な日 状態に戻れますよ っていうのをもう少し ちゃんと伝えていくべきかな っていうの と,1,243323,272929
12,00:04:32,00:05:01,私もやっぱ本人が気づくてより周りが気づくことが多いと思うので 息子世代とかそんなお年寄りばっかりでもないと思うんですけど 子供世代に例えば 健康診断のついでと かに おたくの子三高 優勝ではありませんか みたいなんでも軽度認知障害について を もっと 啓発していけば その,1,272929,301821
13,00:05:01,00:05:28,病院にも連れてきてきてくれやすくなるのかな と思ってその割と お年寄りって物忘れ多いじゃないですか それってなんかお年寄りだからしょうがないってた みんな 思ってるところあってそこが 実際 軽度認知障害とかの状態であれば それぐらいで病院行って連れて行かないと思うので でもやっぱり家とのこと考えると連れて行ってもらった方がお互い,1,301821,328514
14,00:05:28,00:05:51,なんか 社会的にも助かるし 本人達に助かると思うのでその段階で病院に連れて行ってくれるように 何かもっと その程度に障害について行ってもらう ってのが大事なのかなと思いました,1,328514,351517
15,00:05:51,00:06:00,食べていくなかでも どうしていいか分からなくなってるんですけど知らなかったこととして なんか 結構 認知症の人多いっていう風に言われていますけど,0,351527,360401
16,00:06:00,00:06:25,お年寄りの中でも なんか 三菱ufj なんとかかんとかの資料によると65歳から69歳とか2.2 Ver 70から74は4.9日で7畳から79 でやっと10.9パーになって 80から84.4パーで85歳以上になると 55.5%ですよ に半分以上 めっちゃビビったんですけど,0,360401,385213
17,00:06:25,00:06:32,お金で関わりが深い疾患として 坂本さんを入れて食べた後ってのがあったと思うけど私が見たところによると なんかと,0,385213,392867
18,00:06:32,00:06:34,,2,392883,394003
19,00:06:34,00:06:53,桜っていう風になってたので 声なと思ったりとかですね 要介護認定がつかない人たちが 多分 軽度認知障害にかかると思うけど明日達が独居老人 という新地たら悪いですけどね まあ,0,394023,413293
20,00:06:53,00:07:14,なんでだろう くらしとかがちゃんと口座のやりくり お金の出し入れ 光熱費払う 買い物するができなくなってるとかっていう風になってるっていう事があって でもやっぱり 半数以上が役所になっても 1/4 が 生活 日常生活にしようっていうことはそこまで,0,413293,434573
21,00:07:14,00:07:42,ちょっと差があるんだなんていうことも感じなんですよねんで何も考えられてないんですけどちょっと今持ったのが 例えば 今までちゃんとできてた そのお代金とかを納入してた人がだんだんやばくなっていくにつれて 光熱費とか払えなくなったりとかがあるかなという風に思うんですけど なんかちょっとやばそうな年代っていうのも ちょっと偏見と偏見だけど,0,434573,462303
22,00:07:42,00:08:02,でも お金の出し入れとかをちゃんとできなくなってる人とかに 電力会社とかがそういう風に見て払ってないんだけじゃなくて ちょっとやばくないかと過去を見回りを強化するとかそういったしなんか仕組みとかがあってもいいのかなという風に思いました なんか何も買ってないけど,0,462303,482383
23,00:08:02,00:08:24,ののこ それ確かにの電力会社が見るってのもまた AI とか 用いて中の払ってないペースは認知症です みたいなとかデータを出せ そうだけどね,2,482395,504255
24,00:08:24,00:08:28,日曜でなかったとしてもお金がやばいってことは生活に困窮し,0,504271,508871
25,00:08:28,00:08:41,まあそうやね所あるんだけど認知症への対応と,2,508891,521631
26,00:08:41,00:08:54,認知症にならないための方策を多分先輩をおっしゃってくれていいであやかちゃんが言ったじゃんかで自分が言うのもあれだけど あの 言ってくれたのは誰の,0,521637,534087
27,00:08:54,00:09:06,軽度認知障害ってのが元に戻ったら増やさないようにするに私が なっちゃった人をどうにかする,0,534087,546457
28,00:09:06,00:09:30,米田さん ととととと,2,546469,570089
29,00:09:30,00:09:59,集約し 収斂されたプランを提示してくださいのですね 今までもそうだったっけ,0,570113,599033
30,00:09:59,00:10:22,ゲートボールって言ったら喧嘩って出てきました,0,599033,622493
31,00:10:22,00:10:27,家なんかそんな声だったよ なんかチームで仲いいやろ,2,622505,627285
32,00:10:27,00:10:28,,1,627293,628793
33,00:10:28,00:10:48,俺もそのイメージだったけど本当はまだ チーム戦 だっ た ん や って言うて 個人戦 だと思ってたからさ これさかわきあいあいとなんか可愛いおじいちゃんおばあちゃん達がわいわい,2,628805,648565
34,00:10:48,00:10:51,でやってたんですが ゲートボールって何,1,648585,651245
35,00:10:51,00:10:54,,2,651269,654749
36,00:10:54,00:10:55,,1,654761,655941
37,00:10:55,00:10:58,,2,655965,658205
38,00:10:58,00:11:07,だからそういうのが地域でやればそのお年寄りと顔見知りになるから 何かあった時に 誰 どこの誰だっての,1,658213,667033
39,00:11:07,00:11:08,その発想,2,667049,668509
40,00:11:08,00:11:13,若い子と話すこと,1,668529,673429
41,00:11:13,00:11:15,そうやね 確かに,2,673441,675241
42,00:11:15,00:11:18,そんで子供達もそういう 馴染みが出るから,1,675261,678761
43,00:11:18,00:11:20,,2,678785,680285
44,00:11:20,00:11:23,長い目で見た時,1,680309,683109
45,00:11:23,00:11:35,おはよう すげー 子供会,2,683133,695973
46,00:11:35,00:11:40,私の時はまあまあって感じね,0,695985,700745
47,00:11:40,00:11:44,,1,700757,704737
48,00:11:44,00:11:54,自分も10年前,0,704753,714273
49,00:11:54,00:11:56,,1,714293,716473
50,00:11:56,00:12:19,でも確かに,0,716489,739269
51,00:12:19,00:12:24,すげー 非情史,0,739269,744689
52,00:12:24,00:12:43,何とかいうのはそういう老人は子供たちがいても果たしてそういう そこは 起こさないのかと言うと,2,744701,763501
53,00:12:43,00:12:46,そういう人は,0,763525,766375
54,00:12:46,00:12:56,すごい私の地区では ゲートボールが3年前ぐらい前から禁止になったんですかその老人同士の長いだけ 元気だな,0,766375,776905
55,00:12:56,00:12:58,,2,776917,778557
56,00:12:58,00:13:00,,1,778577,780397
57,00:13:00,00:13:05,相手のボールを邪魔するようにボール置いたりするんですが今朝は 何で 脚長 邪魔するんだ,0,780409,785889
58,00:13:05,00:13:08,,2,785905,788005
59,00:13:08,00:13:11,殴り合いの大乱闘,0,788013,791273
60,00:13:11,00:13:15,何もできるっけ,2,791293,795673
61,00:13:15,00:13:19,昼にはできるんですかね それかな地域ルールですかね わかんない,0,795681,799761
62,00:13:19,00:13:27,でも出来るゴルフみたいに何かあったらなんかバカみたいなおいてどっかど,2,799781,807061
63,00:13:27,00:13:31,元気な人 元気ですね 老人ホームで,0,807077,811177
64,00:13:31,00:13:37,a型とか聞きますね 認知症の人は凄いしてくるとか,1,811201,817981
65,00:13:37,00:13:38,,2,817997,818977
66,00:13:38,00:13:46,認知症じゃなくても認知症だった ももう最後から二番目じゃなくてガチの最後の恋 何で歯抜けると,0,818997,826077
67,00:13:46,00:13:47,,2,826089,827549
68,00:13:47,00:13:56,あの先立たれちゃったりしたらもうお咎めもないので どっちかに,0,827569,836649
69,00:13:56,00:14:17,行きますよね 老人ホームでの なんかそういうのも 買って,1,836657,857157
70,00:14:17,00:14:19,そうなんや,2,857169,859609
71,00:14:19,00:14:28,強制加入ですか は 何 か それが嫌だ 見たい人 増えてるみたいで,1,859621,868201
72,00:14:28,00:14:39,確かに 飲み会はどうなのかな 子供 嫌だって言ってる人どうやって この中に入れるか 米 モチベがないかな,2,868225,879725
73,00:14:39,00:15:03,愛はどうするんだって 今から帰るお家におばあちゃんがいるおじいちゃんがいないと,1,879745,903145
74,00:15:03,00:15:08,東和 って出せるかよね,2,903157,908237
75,00:15:08,00:15:52,女子小学校,1,908253,952913
76,00:15:52,00:16:02,運動 週3回する人は全くしない人に比べて アルツハイマー型認知症 発症率が67%でしたって,0,952921,962741
77,00:16:03,00:16:28,30%軽減 なんだそうですよならゲートボールとかウォーキングとか選べたらいいのかなって若干 ウォーキングとかだったらちょっと小学生とかでもやりやすいので あのできればスタンプラリー とか体育の持久走の勝ちじゃない番号 地域でやる,0,963713,988453
78,00:16:28,00:16:32,ありますよね そういうの,2,988465,992425
79,00:16:32,00:16:34,持久走,0,992441,994721
80,00:16:34,00:16:46,体育の時間の代替 みたいな感じ,2,994741,1006201
81,00:16:46,00:16:59,これから体育の時間に 体育 やるんですけど 地域で行きたい人 来ませんとかでもいいかな ほど その中にちょっとやばい人がいたら,0,1006221,1019881
82,00:16:59,00:17:01,,2,1019901,1021921
83,00:17:01,00:17:03,刃物 持って,0,1021933,1023173
84,00:17:03,00:17:04,,2,1023189,1024209
85,00:17:04,00:17:13,これが認知症がやばくなっちゃって,0,1024221,1033141
86,00:17:13,00:17:22,高齢者のスポーツ人口 増えてるらしいよね全体的には ゲートボールは減ってるけどその,2,1033165,1042485
87,00:17:22,00:17:38,健康寿命が延びてるおかげで 別ゲートボールじゃなくてもテニスとかそういったことができるらしくてまだ 絡ま 分散されてるから ゲートボール人口が減ってるとも言え,2,1042485,1058605
88,00:17:38,00:17:41,だけど,0,1058620,1061200
89,00:17:41,00:18:10,多様性があるからね 私もそうだけど 一番なんかしやすいスポーツがゲートボール かなと俺は思ったよね公園に行けば 激しくないし 怪我もあんま 心配ないっていう理由で 蹴飛ばしたんやけど,2,1061220,1090910
90,00:18:10,00:18:18,,2,1090910,1098400
91,00:18:18,00:18:22,つられ なかなか,2,1098920,1102080
92,00:18:22,00:18:23,,0,1102096,1103816
93,00:18:23,00:19:08,認知症 取り巻く 大運動してもらったら知らせるからいいね,1,1103832,1148522
94,00:19:08,00:19:27,子供と高齢者,1,1148522,1167292
95,00:19:27,00:19:50,昔 保育園とかだったら幼稚園とかだったらそういう時間 取りやすいんじゃないかな,1,1167292,1190252
96,00:19:50,00:19:51,,2,1190272,1191752
