frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
1,0,0.0,0.98,1,0.007,0.056,-0.057,289.0,283.5,368.4,279.3,328.7,281.4,0.0,False
2,0,0.033,0.98,1,0.007,0.058,-0.061,289.0,283.5,368.3,279.4,328.65,281.45,0.0,False
3,0,0.067,0.98,1,0.008,0.06,-0.063,289.0,283.6,368.3,279.4,328.65,281.5,0.0,False
4,0,0.1,0.98,1,0.007,0.061,-0.063,289.1,283.5,368.4,279.4,328.75,281.45,0.0,False
5,0,0.133,0.98,1,0.007,0.06,-0.062,289.1,282.7,368.3,278.7,328.70000000000005,280.7,0.0,False
6,0,0.167,0.98,1,0.006,0.059,-0.063,289.1,282.6,368.4,278.5,328.75,280.55,0.0,False
7,0,0.2,0.98,1,0.004,0.058,-0.062,289.3,282.5,368.4,278.4,328.85,280.45,0.0,False
8,0,0.233,0.98,1,0.004,0.058,-0.062,289.3,282.4,368.3,278.4,328.8,280.4,0.0,False
9,0,0.267,0.98,1,0.006,0.058,-0.062,289.3,282.5,368.3,278.4,328.8,280.45,0.0,False
10,0,0.3,0.98,1,0.003,0.06,-0.062,288.8,282.1,368.3,278.3,328.55,280.20000000000005,0.0,False
11,0,0.333,0.98,1,0.002,0.059,-0.061,288.6,281.9,368.4,278.2,328.5,280.04999999999995,0.0,False
12,0,0.367,0.98,1,0.003,0.06,-0.062,288.6,281.8,368.3,278.2,328.45000000000005,280.0,0.0,False
13,0,0.4,0.98,1,0.0,0.059,-0.063,288.5,281.7,368.2,277.9,328.35,279.79999999999995,0.0,False
14,0,0.433,0.98,1,0.0,0.06,-0.063,288.3,281.5,368.2,277.6,328.25,279.55,0.0,False
15,0,0.467,0.98,1,0.002,0.061,-0.062,288.3,281.4,368.4,277.5,328.35,279.45,0.0,False
16,0,0.5,0.98,1,0.001,0.061,-0.062,288.4,281.4,368.3,277.5,328.35,279.45,0.0,False
17,0,0.533,0.98,1,-0.0,0.062,-0.062,288.5,281.3,368.2,277.5,328.35,279.4,0.0,False
18,0,0.567,0.98,1,-0.0,0.062,-0.063,288.5,281.3,368.1,277.5,328.3,279.4,0.0,False
19,0,0.6,0.98,1,0.002,0.062,-0.062,288.6,281.1,368.1,277.4,328.35,279.25,0.0,False
20,0,0.633,0.98,1,0.003,0.061,-0.061,288.7,281.1,368.1,277.4,328.4,279.25,0.0,False
21,0,0.667,0.98,1,0.002,0.061,-0.062,288.8,281.1,368.1,277.4,328.45000000000005,279.25,0.0,False
22,0,0.7,0.98,1,0.004,0.061,-0.062,288.8,281.1,368.1,277.4,328.45000000000005,279.25,0.0,False
23,0,0.733,0.98,1,0.004,0.061,-0.062,288.9,281.1,368.2,277.4,328.54999999999995,279.25,0.0,False
24,0,0.767,0.98,1,0.004,0.061,-0.062,289.1,281.2,368.5,277.5,328.8,279.35,0.0,False
25,0,0.8,0.98,1,0.003,0.06,-0.061,289.1,281.2,368.5,277.5,328.8,279.35,0.0,False
26,0,0.833,0.98,1,0.004,0.044,-0.058,290.2,280.9,369.9,277.2,330.04999999999995,279.04999999999995,0.0,False
27,0,0.867,0.98,1,0.004,0.018,-0.053,292.7,280.4,372.4,276.9,332.54999999999995,278.65,0.0,False
28,0,0.9,0.98,1,-0.013,-0.027,-0.043,296.6,279.9,376.7,276.6,336.65,278.25,0.0,False
29,0,0.933,0.98,1,-0.023,-0.085,-0.034,302.9,279.1,382.2,275.8,342.54999999999995,277.45000000000005,0.0,False
30,0,0.967,0.98,1,-0.026,-0.127,-0.034,311.2,278.0,389.0,275.5,350.1,276.75,0.0,False
31,0,1.0,0.98,1,-0.019,-0.101,-0.061,311.2,278.1,388.9,275.4,350.04999999999995,276.75,0.0,False
32,0,1.033,0.98,1,-0.031,-0.183,-0.036,320.7,276.9,396.3,274.9,358.5,275.9,0.0,False
33,0,1.067,0.98,1,-0.044,-0.225,-0.033,332.8,276.3,405.3,275.2,369.05,275.75,0.0,False
34,0,1.1,0.98,1,-0.056,-0.289,-0.029,346.0,274.9,413.1,275.2,379.55,275.04999999999995,0.0,False
35,0,1.133,0.98,1,-0.069,-0.354,-0.023,360.5,272.4,421.5,273.8,391.0,273.1,0.0,False
36,0,1.167,0.98,1,-0.083,-0.421,-0.023,374.7,269.5,428.6,271.7,401.65,270.6,0.0,False
37,0,1.2,0.98,1,-0.095,-0.487,-0.025,388.1,267.3,435.0,269.5,411.55,268.4,0.0,False
38,0,1.233,0.98,1,-0.086,-0.523,-0.021,400.8,266.1,441.5,267.8,421.15,266.95000000000005,0.0,False
39,0,1.267,0.98,1,-0.058,-0.547,-0.011,412.6,264.9,447.1,266.7,429.85,265.79999999999995,0.0,False
40,0,1.3,0.98,1,-0.041,-0.57,0.0,421.1,264.7,451.7,267.0,436.4,265.85,0.0,False
41,0,1.333,0.98,1,-0.039,-0.589,0.014,427.8,264.8,456.4,268.5,442.1,266.65,0.0,False
42,0,1.367,0.98,1,-0.022,-0.596,0.028,431.7,265.5,463.3,269.6,447.5,267.55,0.0,False
43,0,1.4,0.98,1,-0.002,-0.587,0.04,436.8,265.8,467.2,269.4,452.0,267.6,0.0,False
44,0,1.433,0.98,1,0.008,-0.557,0.053,439.6,266.7,470.6,270.0,455.1,268.35,0.0,False
45,0,1.467,0.98,1,0.011,-0.558,0.067,441.3,267.4,473.3,270.7,457.3,269.04999999999995,0.0,False
46,0,1.5,0.98,1,0.015,-0.538,0.085,442.3,268.5,475.9,272.3,459.1,270.4,0.0,False
47,0,1.533,0.98,1,0.017,-0.524,0.1,443.1,269.5,478.5,273.5,460.8,271.5,0.0,False
48,0,1.567,0.98,1,0.031,-0.514,0.104,443.4,270.4,479.5,274.3,461.45,272.35,0.0,False
49,0,1.6,0.98,1,0.033,-0.508,0.109,442.9,270.7,480.5,275.5,461.7,273.1,0.0,False
50,0,1.633,0.98,1,0.029,-0.498,0.111,441.2,270.8,480.9,276.3,461.04999999999995,273.55,0.0,False
51,0,1.667,0.98,1,0.021,-0.494,0.113,436.9,272.7,480.6,277.0,458.75,274.85,0.0,False
52,0,1.7,0.98,1,0.015,-0.486,0.111,430.5,273.4,477.8,277.6,454.15,275.5,0.0,False
53,0,1.733,0.98,1,0.011,-0.479,0.107,420.1,274.0,473.2,277.2,446.65,275.6,0.0,False
54,0,1.767,0.98,1,0.008,-0.457,0.091,407.0,274.8,466.6,276.9,436.8,275.85,0.0,False
55,0,1.8,0.98,1,-0.006,-0.425,0.079,392.8,275.3,460.0,275.4,426.4,275.35,0.0,False
56,0,1.833,0.88,1,0.006,-0.397,0.078,380.9,274.5,452.1,274.1,416.5,274.3,0.0,False
57,0,1.867,0.98,1,-0.052,-0.253,0.021,352.7,276.2,422.1,277.1,387.4,276.65,0.0,False
58,0,1.9,0.98,1,-0.048,-0.166,-0.014,340.2,276.2,412.7,275.9,376.45,276.04999999999995,0.0,False
59,0,1.933,0.98,1,-0.045,-0.088,-0.043,327.9,276.6,403.5,275.2,365.7,275.9,0.0,False
60,0,1.967,0.98,1,-0.046,-0.024,-0.062,316.7,277.5,395.1,275.0,355.9,276.25,0.0,False
