frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
1,0,0.0,0.98,1,0.002,0.099,-0.119,278.7,278.9,358.6,270.0,318.65,274.45,0.0,False
2,0,0.033,0.98,1,-0.004,0.101,-0.125,278.8,279.7,358.4,271.0,318.6,275.35,0.0,False
3,0,0.067,0.98,1,-0.003,0.102,-0.126,278.8,279.7,358.4,271.0,318.6,275.35,0.0,False
4,0,0.1,0.98,1,-0.002,0.103,-0.127,278.7,279.2,358.4,270.5,318.54999999999995,274.85,0.0,False
5,0,0.133,0.98,1,-0.004,0.104,-0.128,278.6,279.0,358.6,270.0,318.6,274.5,0.0,False
6,0,0.167,0.98,1,-0.003,0.103,-0.128,278.7,279.2,358.7,270.2,318.7,274.7,0.0,False
7,0,0.2,0.98,1,-0.003,0.103,-0.128,278.9,279.3,358.7,270.3,318.79999999999995,274.8,0.0,False
8,0,0.233,0.98,1,-0.005,0.106,-0.128,279.1,279.0,358.7,270.3,318.9,274.65,0.0,False
9,0,0.267,0.98,1,-0.002,0.11,-0.125,279.4,278.8,359.4,270.2,319.4,274.5,0.0,False
10,0,0.3,0.98,1,0.002,0.111,-0.12,279.6,278.7,359.8,270.3,319.70000000000005,274.5,0.0,False
11,0,0.333,0.98,1,-0.005,0.109,-0.11,280.4,278.3,360.4,271.0,320.4,274.65,0.0,False
12,0,0.367,0.98,1,-0.004,0.111,-0.095,281.3,277.6,361.0,271.7,321.15,274.65,0.0,False
13,0,0.4,0.98,1,-0.009,0.113,-0.076,282.5,276.1,363.0,272.0,322.75,274.05,0.0,False
14,0,0.433,0.98,1,-0.005,0.121,-0.053,284.5,275.1,365.1,273.1,324.8,274.1,0.0,False
15,0,0.467,0.98,1,-0.007,0.127,-0.022,286.6,274.2,367.3,274.8,326.95000000000005,274.5,0.0,False
16,0,0.5,0.98,1,-0.004,0.134,0.012,288.8,273.1,370.0,276.7,329.4,274.9,0.0,False
17,0,0.533,0.98,1,-0.007,0.142,0.05,292.0,271.4,372.8,278.4,332.4,274.9,0.0,False
18,0,0.567,0.98,1,-0.007,0.155,0.09,295.5,269.8,375.9,280.9,335.7,275.35,0.0,False
19,0,0.6,0.98,1,0.016,0.164,0.158,299.3,268.6,379.4,283.8,339.35,276.20000000000005,0.0,False
20,0,0.633,0.98,1,0.013,0.174,0.215,303.5,267.4,382.9,287.0,343.2,277.2,0.0,False
21,0,0.667,0.98,1,0.007,0.181,0.275,307.6,266.3,386.5,290.1,347.05,278.20000000000005,0.0,False
22,0,0.7,0.98,1,-0.004,0.192,0.33,312.0,265.8,389.5,293.4,350.75,279.6,0.0,False
23,0,0.733,0.98,1,-0.013,0.207,0.376,316.5,265.2,392.7,296.7,354.6,280.95,0.0,False
24,0,0.767,0.98,1,-0.024,0.212,0.423,321.8,264.9,397.1,299.8,359.45000000000005,282.35,0.0,False
25,0,0.8,0.98,1,-0.031,0.216,0.471,327.8,264.8,401.4,303.3,364.6,284.05,0.0,False
26,0,0.833,0.98,1,-0.046,0.207,0.512,333.7,264.5,406.2,306.3,369.95,285.4,0.0,False
27,0,0.867,0.98,1,-0.055,0.192,0.548,341.0,265.3,412.5,309.9,376.75,287.6,0.0,False
28,0,0.9,0.98,1,-0.048,0.192,0.551,341.0,265.3,412.5,310.0,376.75,287.65,0.0,False
29,0,0.933,0.98,1,-0.066,0.169,0.589,348.1,266.4,418.0,313.6,383.05,290.0,0.0,False
30,0,0.967,0.98,1,-0.055,0.161,0.613,355.1,267.4,423.6,316.5,389.35,291.95,0.0,False
31,0,1.0,0.98,1,-0.047,0.159,0.634,362.4,268.3,429.7,319.6,396.04999999999995,293.95000000000005,0.0,False
32,0,1.033,0.98,1,-0.044,0.149,0.658,368.8,269.9,435.2,322.8,402.0,296.35,0.0,False
33,0,1.067,0.98,1,-0.034,0.134,0.679,374.7,272.4,439.3,326.4,407.0,299.4,0.0,False
