frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
1,0,0.0,0.98,1,0.035,0.084,-0.08,289.4,283.7,370.7,278.3,330.04999999999995,281.0,0.0,False
2,0,0.033,0.98,1,0.035,0.088,-0.087,289.9,283.4,371.0,277.7,330.45,280.54999999999995,0.0,False
3,0,0.067,0.98,1,0.037,0.089,-0.089,289.9,283.5,370.9,277.6,330.4,280.55,0.0,False
4,0,0.1,0.98,1,0.036,0.089,-0.089,289.9,283.5,370.8,278.2,330.35,280.85,0.0,False
5,0,0.133,0.98,1,0.035,0.089,-0.089,289.9,283.5,370.8,278.2,330.35,280.85,0.0,False
6,0,0.167,0.98,1,0.035,0.089,-0.088,289.9,283.5,370.8,278.1,330.35,280.8,0.0,False
7,0,0.2,0.98,1,0.036,0.089,-0.089,289.6,283.1,370.7,277.2,330.15,280.15,0.0,False
8,0,0.233,0.98,1,0.034,0.089,-0.094,289.1,283.5,369.7,277.3,329.4,280.4,0.0,False
9,0,0.267,0.98,1,0.035,0.093,-0.107,287.5,284.4,368.5,277.0,328.0,280.7,0.0,False
10,0,0.3,0.98,1,0.034,0.094,-0.126,286.2,284.9,366.5,276.1,326.35,280.5,0.0,False
11,0,0.333,0.98,1,0.036,0.094,-0.152,283.6,285.7,364.2,274.9,323.9,280.29999999999995,0.0,False
12,0,0.367,0.98,1,0.04,0.087,-0.182,281.4,287.2,360.6,273.8,321.0,280.5,0.0,False
13,0,0.4,0.98,1,0.043,0.082,-0.218,278.8,289.5,358.1,272.9,318.45000000000005,281.2,0.0,False
14,0,0.433,0.98,1,0.041,0.07,-0.261,275.9,292.3,354.0,272.2,314.95,282.25,0.0,False
15,0,0.467,0.98,1,0.039,0.051,-0.307,272.9,295.3,350.1,271.3,311.5,283.3,0.0,False
16,0,0.5,0.98,1,0.038,0.03,-0.354,269.7,299.9,345.9,271.2,307.79999999999995,285.54999999999995,0.0,False
17,0,0.533,0.98,1,0.033,0.01,-0.399,265.8,304.4,340.8,271.7,303.3,288.04999999999995,0.0,False
18,0,0.567,0.98,1,0.038,-0.006,-0.445,263.7,308.7,336.1,272.5,299.9,290.6,0.0,False
19,0,0.6,0.98,1,0.042,-0.023,-0.489,259.7,313.3,331.0,273.5,295.35,293.4,0.0,False
20,0,0.633,0.98,1,0.036,-0.036,-0.529,255.9,317.7,325.8,274.8,290.85,296.25,0.0,False
21,0,0.667,0.98,1,0.049,-0.04,-0.569,251.9,321.7,320.3,276.3,286.1,299.0,0.0,False
