frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
1,0,0.0,0.98,1,0.041,0.085,-0.073,288.0,284.8,366.1,279.8,327.05,282.3,0.0,False
2,0,0.033,0.98,1,0.039,0.088,-0.077,287.9,284.8,366.0,279.8,326.95,282.3,0.0,False
3,0,0.067,0.98,1,0.043,0.09,-0.08,287.9,284.8,366.0,279.8,326.95,282.3,0.0,False
4,0,0.1,0.98,1,0.041,0.092,-0.08,287.9,284.8,366.3,279.7,327.1,282.25,0.0,False
5,0,0.133,0.98,1,0.038,0.094,-0.077,287.9,284.0,367.0,279.5,327.45,281.75,0.0,False
6,0,0.167,0.98,1,0.035,0.094,-0.075,288.1,283.4,367.1,279.1,327.6,281.25,0.0,False
7,0,0.2,0.98,1,0.035,0.096,-0.074,288.7,283.0,367.0,279.0,327.85,281.0,0.0,False
8,0,0.233,0.98,1,0.026,0.091,-0.072,288.8,282.7,367.2,278.4,328.0,280.54999999999995,0.0,False
9,0,0.267,0.98,1,0.008,0.092,-0.068,289.2,281.4,367.4,277.1,328.29999999999995,279.25,0.0,False
10,0,0.3,0.98,1,-0.021,0.091,-0.066,288.7,278.6,367.1,274.4,327.9,276.5,0.0,False
11,0,0.333,0.98,1,-0.057,0.099,-0.063,288.8,274.9,366.8,271.0,327.8,272.95,0.0,False
12,0,0.367,0.98,1,-0.105,0.104,-0.055,289.2,270.5,366.5,266.5,327.85,268.5,0.0,False
13,0,0.4,0.98,1,-0.155,0.102,-0.048,289.5,265.2,366.6,261.7,328.05,263.45,0.0,False
14,0,0.433,0.98,1,-0.217,0.1,-0.039,289.7,259.4,367.0,256.4,328.35,257.9,0.0,False
15,0,0.467,0.98,1,-0.277,0.098,-0.031,290.8,253.7,366.9,251.0,328.85,252.35,0.0,False
16,0,0.5,0.98,1,-0.343,0.094,-0.022,291.9,248.7,367.1,246.6,329.5,247.64999999999998,0.0,False
17,0,0.533,0.98,1,-0.415,0.089,-0.013,293.1,243.9,367.8,242.4,330.45000000000005,243.15,0.0,False
18,0,0.567,0.98,1,-0.486,0.089,-0.006,293.7,239.4,368.1,237.9,330.9,238.65,0.0,False
19,0,0.6,0.98,1,-0.543,0.093,0.005,294.9,235.2,368.5,233.8,331.7,234.5,0.0,False
20,0,0.633,0.98,1,-0.608,0.086,0.013,296.1,231.6,369.2,230.4,332.65,231.0,0.0,False
21,0,0.667,0.98,1,-0.662,0.089,0.021,297.4,228.3,369.4,227.3,333.4,227.8,0.0,False
22,0,0.7,0.93,1,-0.704,0.084,0.029,299.2,225.4,369.7,224.8,334.45,225.10000000000002,0.0,False
23,0,0.733,0.93,1,-0.728,0.076,0.031,300.7,222.8,370.3,222.9,335.5,222.85000000000002,0.0,False
24,0,0.767,0.93,1,-0.77,0.072,0.036,302.2,222.1,370.8,222.4,336.5,222.25,0.0,False
25,0,0.8,0.93,1,-0.807,0.061,0.037,304.0,221.1,371.2,222.1,337.6,221.6,0.0,False
26,0,0.833,0.93,1,-0.842,0.05,0.041,305.6,221.0,371.4,222.7,338.5,221.85,0.0,False
27,0,0.867,0.93,1,-0.869,0.036,0.046,308.6,221.2,372.2,223.5,340.4,222.35,0.0,False
28,0,0.9,0.88,1,-0.886,0.024,0.047,310.3,221.9,372.6,224.5,341.45000000000005,223.2,0.0,False
29,0,0.933,0.88,1,-0.897,0.021,0.048,311.4,222.5,373.0,225.6,342.2,224.05,0.0,False
30,0,0.967,0.88,1,-0.906,0.02,0.043,311.9,222.9,373.1,226.0,342.5,224.45,0.0,False
31,0,1.0,0.88,1,-0.904,0.02,0.038,312.4,223.2,373.2,226.5,342.79999999999995,224.85,0.0,False
32,0,1.033,0.88,1,-0.889,0.02,0.031,311.4,224.0,373.4,227.1,342.4,225.55,0.0,False
33,0,1.067,0.88,1,-0.862,0.022,0.028,311.1,224.7,373.4,228.2,342.25,226.45,0.0,False
34,0,1.1,0.88,1,-0.858,0.025,0.026,311.1,224.7,373.4,228.2,342.25,226.45,0.0,False
35,0,1.133,0.88,1,-0.818,0.029,0.025,311.0,226.1,373.7,229.1,342.35,227.6,0.0,False
36,0,1.167,0.93,1,-0.757,0.031,0.018,309.2,227.5,372.9,230.3,341.04999999999995,228.9,0.0,False
37,0,1.2,0.93,1,-0.693,0.036,0.017,307.6,230.2,373.5,232.7,340.55,231.45,0.0,False
38,0,1.233,0.93,1,-0.63,0.038,0.007,306.9,233.8,372.8,235.5,339.85,234.65,0.0,False
39,0,1.267,0.98,1,-0.574,0.052,-0.002,305.4,239.0,372.5,239.6,338.95,239.3,0.0,False
40,0,1.3,0.98,1,-0.508,0.058,-0.015,303.5,244.6,372.7,244.6,338.1,244.6,0.0,False
41,0,1.333,0.98,1,-0.42,0.059,-0.017,302.4,249.8,372.9,249.3,337.65,249.55,0.0,False
42,0,1.367,0.98,1,-0.342,0.057,-0.021,300.8,255.3,373.0,254.0,336.9,254.65,0.0,False
43,0,1.4,0.98,1,-0.256,0.058,-0.029,299.1,260.8,372.4,259.0,335.75,259.9,0.0,False
44,0,1.433,0.98,1,-0.172,0.062,-0.038,297.7,266.8,372.8,264.7,335.25,265.75,0.0,False
45,0,1.467,0.98,1,-0.099,0.062,-0.043,297.3,273.1,373.2,270.5,335.25,271.8,0.0,False
46,0,1.5,0.98,1,-0.046,0.059,-0.044,296.5,278.1,373.1,275.9,334.8,277.0,0.0,False
47,0,1.533,0.98,1,-0.02,0.056,-0.046,295.5,281.5,372.8,278.9,334.15,280.2,0.0,False
48,0,1.567,0.98,1,0.003,0.056,-0.047,295.2,283.1,373.4,280.2,334.29999999999995,281.65,0.0,False
49,0,1.6,0.98,1,0.001,0.06,-0.047,294.5,283.7,373.4,280.9,333.95,282.29999999999995,0.0,False
50,0,1.633,0.98,1,0.002,0.06,-0.048,294.2,283.5,373.3,280.8,333.75,282.15,0.0,False
51,0,1.667,0.98,1,0.002,0.057,-0.045,294.2,283.4,373.4,280.7,333.79999999999995,282.04999999999995,0.0,False
52,0,1.7,0.98,1,0.003,0.058,-0.045,294.1,283.5,372.9,280.7,333.5,282.1,0.0,False
53,0,1.733,0.98,1,0.003,0.053,-0.041,294.0,283.1,372.6,280.6,333.3,281.85,0.0,False
54,0,1.767,0.98,1,0.002,0.049,-0.035,294.4,283.6,372.4,282.1,333.4,282.85,0.0,False
55,0,1.8,0.98,1,-0.001,0.041,-0.029,294.9,285.6,372.1,284.3,333.5,284.95000000000005,0.0,False
56,0,1.833,0.98,1,0.009,0.039,-0.029,294.5,286.1,372.2,285.0,333.35,285.55,0.0,False
57,0,1.867,0.98,1,0.013,0.032,-0.03,294.2,286.4,372.8,284.9,333.5,285.65,0.0,False
58,0,1.9,0.98,1,0.016,0.031,-0.031,294.1,286.2,372.5,284.6,333.3,285.4,0.0,False
59,0,1.933,0.98,1,0.02,0.031,-0.032,293.6,286.0,372.2,284.3,332.9,285.15,0.0,False
60,0,1.967,0.98,1,0.021,0.029,-0.034,293.5,286.2,371.8,284.1,332.65,285.15,0.0,False
61,0,2.0,0.98,1,0.02,0.03,-0.035,293.2,285.8,371.5,283.7,332.35,284.75,0.0,False
62,0,2.033,0.98,1,0.017,0.03,-0.035,293.0,284.9,371.8,282.6,332.4,283.75,0.0,False
63,0,2.067,0.98,1,0.015,0.029,-0.036,293.0,284.3,371.7,282.1,332.35,283.20000000000005,0.0,False
