frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
1,0,0.0,0.98,1,0.036,0.026,-0.015,286.3,275.4,364.0,274.4,325.15,274.9,0.0,False
2,0,0.033,0.98,1,0.023,0.025,-0.015,286.3,274.7,363.9,273.7,325.1,274.2,0.0,False
3,0,0.067,0.98,1,0.025,0.023,-0.013,286.2,274.7,364.0,273.7,325.1,274.2,0.0,False
4,0,0.1,0.98,1,0.022,0.024,-0.012,286.4,274.4,364.0,273.5,325.2,273.95,0.0,False
5,0,0.133,0.98,1,0.021,0.026,-0.013,286.4,274.3,363.9,273.4,325.15,273.85,0.0,False
6,0,0.167,0.98,1,0.021,0.027,-0.013,286.4,274.3,363.9,273.4,325.15,273.85,0.0,False
7,0,0.2,0.98,1,0.027,0.026,-0.014,286.9,274.8,364.3,273.9,325.6,274.35,0.0,False
8,0,0.233,0.98,1,0.034,0.024,-0.014,286.9,275.5,364.3,274.6,325.6,275.05,0.0,False
9,0,0.267,0.98,1,0.038,0.026,-0.014,287.5,276.1,364.7,275.2,326.1,275.65,0.0,False
10,0,0.3,0.98,1,0.046,0.028,-0.015,287.6,276.4,364.8,275.6,326.20000000000005,276.0,0.0,False
11,0,0.333,0.98,1,0.045,0.03,-0.017,287.9,276.7,365.2,275.6,326.54999999999995,276.15,0.0,False
12,0,0.367,0.98,1,0.051,0.031,-0.017,287.9,276.8,365.3,275.9,326.6,276.35,0.0,False
13,0,0.4,0.98,1,0.053,0.034,-0.017,288.1,276.5,365.0,275.6,326.55,276.05,0.0,False
14,0,0.433,0.98,1,0.051,0.034,-0.017,288.3,276.2,365.3,275.1,326.8,275.65,0.0,False
15,0,0.467,0.98,1,0.053,0.034,-0.018,288.4,275.9,365.5,274.8,326.95,275.35,0.0,False
16,0,0.5,0.98,1,0.053,0.034,-0.018,288.4,275.8,365.5,274.8,326.95,275.3,0.0,False
17,0,0.533,0.98,1,0.054,0.034,-0.018,288.4,275.8,365.5,274.8,326.95,275.3,0.0,False
18,0,0.567,0.98,1,0.046,0.035,-0.018,288.2,275.0,365.2,274.4,326.7,274.7,0.0,False
19,0,0.6,0.98,1,0.044,0.033,-0.018,288.3,274.9,365.3,274.3,326.8,274.6,0.0,False
20,0,0.633,0.98,1,0.044,0.034,-0.018,288.3,274.9,365.6,274.1,326.95000000000005,274.5,0.0,False
21,0,0.667,0.98,1,0.045,0.036,-0.019,288.0,275.0,365.2,274.1,326.6,274.55,0.0,False
22,0,0.7,0.98,1,0.045,0.037,-0.018,287.7,275.0,365.2,274.0,326.45,274.5,0.0,False
23,0,0.733,0.98,1,0.047,0.033,-0.018,287.4,275.0,364.8,273.9,326.1,274.45,0.0,False
24,0,0.767,0.98,1,0.047,0.037,-0.018,287.3,275.4,364.6,274.3,325.95000000000005,274.85,0.0,False
25,0,0.8,0.98,1,0.041,0.037,-0.02,287.3,276.9,364.2,275.9,325.75,276.4,0.0,False
26,0,0.833,0.98,1,0.044,0.04,-0.021,286.7,279.2,363.8,278.1,325.25,278.65,0.0,False
27,0,0.867,0.98,1,0.047,0.037,-0.023,286.4,280.0,363.9,278.7,325.15,279.35,0.0,False
28,0,0.9,0.98,1,0.055,0.04,-0.027,286.4,281.3,363.8,280.0,325.1,280.65,0.0,False
29,0,0.933,0.98,1,0.074,0.039,-0.03,286.7,283.2,364.3,281.7,325.5,282.45,0.0,False
30,0,0.967,0.98,1,0.099,0.037,-0.034,286.7,286.8,365.0,285.4,325.85,286.1,0.0,False
31,0,1.0,0.98,1,0.149,0.037,-0.04,286.9,292.9,365.6,290.5,326.25,291.7,0.0,False
32,0,1.033,0.98,1,0.211,0.029,-0.047,286.7,301.6,366.6,299.0,326.65,300.3,0.0,False
33,0,1.067,0.98,1,0.293,0.021,-0.053,286.2,312.9,366.9,309.5,326.54999999999995,311.2,0.0,False
34,0,1.1,0.98,1,0.28,0.023,-0.053,286.3,312.9,366.8,309.7,326.55,311.29999999999995,0.0,False
35,0,1.133,0.98,1,0.376,0.005,-0.054,286.3,326.6,368.3,322.6,327.3,324.6,0.0,False
36,0,1.167,0.93,1,0.471,0.001,-0.061,286.0,341.7,368.1,337.5,327.05,339.6,0.0,False
37,0,1.2,0.88,1,0.525,-0.011,-0.059,287.0,356.2,368.9,351.4,327.95,353.79999999999995,0.0,False
38,0,1.233,0.77,1,0.58,-0.018,-0.066,286.4,368.8,369.3,356.1,327.85,362.45000000000005,0.0,False
60,0,1.967,0.77,1,0.596,0.017,-0.047,285.8,383.0,376.7,380.0,331.25,381.5,0.0,False
61,0,2.0,0.77,1,0.572,0.013,-0.033,286.8,367.7,374.2,368.4,330.5,368.04999999999995,0.0,False
64,0,2.1,0.88,1,0.204,0.034,-0.024,286.2,326.5,371.3,323.7,328.75,325.1,0.0,False
65,0,2.133,0.98,1,0.141,0.033,-0.031,286.3,314.2,371.3,312.1,328.8,313.15,0.0,False
66,0,2.167,0.98,1,0.097,0.044,-0.04,286.6,304.5,370.0,301.9,328.3,303.2,0.0,False
67,0,2.2,0.98,1,0.072,0.049,-0.043,286.0,297.2,369.6,294.6,327.8,295.9,0.0,False
68,0,2.233,0.98,1,0.049,0.062,-0.043,286.9,291.2,369.5,288.9,328.2,290.04999999999995,0.0,False
69,0,2.267,0.98,1,0.023,0.06,-0.041,287.4,285.9,369.2,283.9,328.29999999999995,284.9,0.0,False
70,0,2.3,0.98,1,0.005,0.058,-0.041,288.2,282.6,369.0,280.7,328.6,281.65,0.0,False
71,0,2.333,0.98,1,-0.012,0.06,-0.038,289.1,280.6,369.1,278.6,329.1,279.6,0.0,False
72,0,2.367,0.98,1,-0.028,0.059,-0.036,289.5,279.3,369.1,277.3,329.3,278.3,0.0,False
73,0,2.4,0.98,1,-0.037,0.061,-0.035,289.9,278.0,368.8,276.1,329.35,277.05,0.0,False
74,0,2.433,0.98,1,-0.044,0.06,-0.035,290.1,277.2,368.6,275.3,329.35,276.25,0.0,False
75,0,2.467,0.98,1,-0.044,0.06,-0.036,290.3,277.8,368.4,275.6,329.35,276.70000000000005,0.0,False
76,0,2.5,0.98,1,-0.045,0.061,-0.036,290.5,278.3,368.4,276.1,329.45,277.20000000000005,0.0,False
77,0,2.533,0.98,1,-0.046,0.059,-0.037,290.5,278.5,368.0,276.2,329.25,277.35,0.0,False
78,0,2.567,0.98,1,-0.046,0.058,-0.038,290.6,278.3,368.1,276.0,329.35,277.15,0.0,False
79,0,2.6,0.98,1,-0.044,0.059,-0.038,290.6,278.4,368.2,276.1,329.4,277.25,0.0,False
80,0,2.633,0.98,1,-0.044,0.056,-0.039,290.7,279.0,368.1,276.5,329.4,277.75,0.0,False
81,0,2.667,0.98,1,-0.04,0.056,-0.04,290.7,279.3,368.1,276.7,329.4,278.0,0.0,False
