frame,face_id,timestamp,confidence,success,pose_Rx,pose_Ry,pose_Rz,eye_lmk_x_25,eye_lmk_y_25,eye_lmk_x_53,eye_lmk_y_53,face_coord_x,face_coord_y,new_face_id,face_id_update
1,0,0.0,0.98,1,-0.001,0.051,-0.084,293.8,280.3,373.2,273.7,333.5,277.0,0.0,False
2,0,0.033,0.98,1,-0.002,0.053,-0.089,293.8,280.1,373.0,273.5,333.4,276.8,0.0,False
3,0,0.067,0.98,1,0.0,0.054,-0.09,293.8,280.1,373.0,273.5,333.4,276.8,0.0,False
4,0,0.1,0.98,1,0.001,0.055,-0.09,293.8,280.1,373.0,273.5,333.4,276.8,0.0,False
5,0,0.133,0.98,1,0.001,0.055,-0.09,293.8,280.1,373.0,273.5,333.4,276.8,0.0,False
6,0,0.167,0.98,1,0.001,0.055,-0.09,293.7,280.1,373.0,273.5,333.35,276.8,0.0,False
7,0,0.2,0.98,1,0.001,0.055,-0.091,293.7,280.1,373.0,273.5,333.35,276.8,0.0,False
8,0,0.233,0.98,1,0.001,0.055,-0.091,293.7,280.1,373.0,273.5,333.35,276.8,0.0,False
9,0,0.267,0.98,1,0.002,0.055,-0.091,293.8,280.1,373.0,273.5,333.4,276.8,0.0,False
10,0,0.3,0.98,1,0.002,0.055,-0.09,293.7,280.1,373.0,273.5,333.35,276.8,0.0,False
11,0,0.333,0.98,1,0.002,0.058,-0.089,293.6,280.1,373.0,273.5,333.3,276.8,0.0,False
12,0,0.367,0.98,1,0.003,0.061,-0.09,293.3,280.1,372.8,273.4,333.05,276.75,0.0,False
13,0,0.4,0.98,1,0.004,0.067,-0.093,292.6,280.4,372.1,273.5,332.35,276.95,0.0,False
14,0,0.433,0.98,1,0.004,0.084,-0.094,290.8,280.4,370.4,273.6,330.6,277.0,0.0,False
15,0,0.467,0.98,1,0.014,0.113,-0.1,288.5,280.6,367.6,273.8,328.05,277.20000000000005,0.0,False
16,0,0.5,0.98,1,0.016,0.156,-0.104,285.1,280.6,363.7,274.0,324.4,277.3,0.0,False
17,0,0.533,0.98,1,0.025,0.194,-0.096,280.4,280.6,358.7,274.0,319.54999999999995,277.3,0.0,False
18,0,0.567,0.98,1,0.016,0.245,-0.079,275.1,280.6,352.4,274.5,313.75,277.55,0.0,False
19,0,0.6,0.98,1,0.013,0.295,-0.073,269.9,280.5,345.8,274.4,307.85,277.45,0.0,False
20,0,0.633,0.98,1,0.003,0.352,-0.073,264.7,280.5,337.9,274.5,301.29999999999995,277.5,0.0,False
21,0,0.667,0.98,1,-0.001,0.404,-0.075,259.2,280.7,329.6,274.5,294.4,277.6,0.0,False
22,0,0.7,0.98,1,-0.007,0.443,-0.071,253.5,281.3,321.7,275.3,287.6,278.3,0.0,False
23,0,0.733,0.98,1,-0.01,0.498,-0.07,250.3,282.1,312.6,276.3,281.45000000000005,279.20000000000005,0.0,False
24,0,0.767,0.98,1,-0.018,0.536,-0.057,245.2,282.0,304.2,276.4,274.7,279.2,0.0,False
25,0,0.8,0.98,1,-0.025,0.576,-0.053,241.5,281.8,295.7,276.9,268.6,279.35,0.0,False
26,0,0.833,0.98,1,-0.026,0.6,-0.053,237.8,282.1,288.6,277.5,263.20000000000005,279.8,0.0,False
27,0,0.867,0.98,1,-0.029,0.629,-0.051,235.3,282.8,282.0,278.4,258.65,280.6,0.0,False
28,0,0.9,0.98,1,-0.029,0.645,-0.049,233.2,282.9,277.3,279.2,255.25,281.04999999999995,0.0,False
29,0,0.933,0.98,1,-0.019,0.652,-0.051,231.6,283.3,273.1,280.4,252.35000000000002,281.85,0.0,False
30,0,0.967,0.98,1,-0.002,0.654,-0.062,229.7,283.4,268.8,280.8,249.25,282.1,0.0,False
31,0,1.0,0.98,1,0.003,0.657,-0.066,228.1,283.7,266.2,281.7,247.14999999999998,282.7,0.0,False
32,0,1.033,0.98,1,0.016,0.658,-0.072,226.4,283.5,263.5,281.7,244.95,282.6,0.0,False
33,0,1.067,0.98,1,0.024,0.656,-0.074,225.4,283.5,261.8,281.8,243.60000000000002,282.65,0.0,False
34,0,1.1,0.98,1,0.029,0.666,-0.073,225.1,283.2,261.6,281.8,243.35000000000002,282.5,0.0,False
35,0,1.133,0.98,1,0.03,0.662,-0.074,224.6,283.7,260.3,282.1,242.45,282.9,0.0,False
36,0,1.167,0.98,1,0.037,0.664,-0.074,223.4,283.8,259.1,282.2,241.25,283.0,0.0,False
37,0,1.2,0.98,1,0.037,0.667,-0.072,223.1,284.1,258.2,282.8,240.64999999999998,283.45000000000005,0.0,False
38,0,1.233,0.98,1,0.04,0.671,-0.074,222.5,283.7,257.5,282.5,240.0,283.1,0.0,False
39,0,1.267,0.98,1,0.038,0.674,-0.071,222.4,283.6,257.3,282.7,239.85000000000002,283.15,0.0,False
40,0,1.3,0.98,1,0.033,0.678,-0.071,222.5,284.0,257.6,282.4,240.05,283.2,0.0,False
41,0,1.333,0.98,1,0.034,0.677,-0.072,223.3,285.3,258.2,283.9,240.75,284.6,0.0,False
42,0,1.367,0.98,1,0.032,0.683,-0.076,224.5,286.2,261.2,285.5,242.85,285.85,0.0,False
43,0,1.4,0.98,1,0.02,0.684,-0.079,227.6,287.8,266.2,286.7,246.89999999999998,287.25,0.0,False
44,0,1.433,0.98,1,0.031,0.66,-0.095,229.6,288.6,273.4,286.7,251.5,287.65,0.0,False
45,0,1.467,0.98,1,0.038,0.608,-0.106,233.2,289.8,283.1,286.6,258.15,288.20000000000005,0.0,False
46,0,1.5,0.98,1,0.053,0.541,-0.113,238.4,291.3,294.7,286.1,266.55,288.70000000000005,0.0,False
47,0,1.533,0.98,1,0.055,0.457,-0.107,243.6,291.8,306.5,284.8,275.05,288.3,0.0,False
48,0,1.567,0.98,1,0.044,0.402,-0.106,249.6,291.2,318.6,283.3,284.1,287.25,0.0,False
49,0,1.6,0.98,1,0.053,0.308,-0.117,256.2,290.7,329.2,281.9,292.7,286.29999999999995,0.0,False
50,0,1.633,0.98,1,0.046,0.25,-0.126,261.4,290.0,337.5,280.5,299.45,285.25,0.0,False
51,0,1.667,0.98,1,0.032,0.204,-0.122,265.9,288.6,343.8,278.9,304.85,283.75,0.0,False
52,0,1.7,0.98,1,0.024,0.164,-0.117,268.9,287.5,347.9,277.8,308.4,282.65,0.0,False
53,0,1.733,0.98,1,0.005,0.137,-0.113,271.6,286.6,352.1,277.1,311.85,281.85,0.0,False
54,0,1.767,0.98,1,0.012,0.139,-0.133,274.1,285.8,355.5,276.6,314.8,281.20000000000005,0.0,False
55,0,1.8,0.98,1,0.014,0.128,-0.14,276.8,285.0,357.9,275.7,317.35,280.35,0.0,False
56,0,1.833,0.98,1,0.003,0.115,-0.137,278.8,284.1,360.4,275.3,319.6,279.70000000000005,0.0,False
57,0,1.867,0.98,1,-0.004,0.104,-0.133,280.9,283.7,362.1,275.1,321.5,279.4,0.0,False
58,0,1.9,0.98,1,-0.011,0.095,-0.128,282.4,283.1,363.1,274.9,322.75,279.0,0.0,False
59,0,1.933,0.98,1,-0.013,0.089,-0.123,283.4,282.6,364.0,274.7,323.7,278.65,0.0,False
60,0,1.967,0.98,1,-0.015,0.086,-0.118,284.0,282.3,364.9,274.7,324.45,278.5,0.0,False
61,0,2.0,0.98,1,-0.015,0.083,-0.115,284.6,282.1,365.5,274.6,325.05,278.35,0.0,False
62,0,2.033,0.98,1,-0.015,0.084,-0.111,284.9,282.1,365.8,274.7,325.35,278.4,0.0,False
63,0,2.067,0.98,1,-0.014,0.085,-0.108,285.0,282.1,366.1,274.9,325.55,278.5,0.0,False
64,0,2.1,0.98,1,-0.012,0.087,-0.106,284.9,282.1,365.9,275.0,325.4,278.55,0.0,False
65,0,2.133,0.98,1,-0.011,0.089,-0.106,284.9,282.1,365.7,275.2,325.29999999999995,278.65,0.0,False
66,0,2.167,0.98,1,-0.009,0.094,-0.107,284.7,282.2,365.4,275.2,325.04999999999995,278.7,0.0,False
67,0,2.2,0.98,1,-0.008,0.097,-0.106,284.6,282.1,365.2,275.3,324.9,278.70000000000005,0.0,False
68,0,2.233,0.98,1,-0.008,0.1,-0.106,284.5,282.0,365.2,275.2,324.85,278.6,0.0,False
69,0,2.267,0.98,1,-0.008,0.101,-0.106,284.4,282.0,365.0,275.1,324.7,278.55,0.0,False
