Order,Text
0,いいですよ書きながらでも
1,僕が調べたのは
2,認知症は何が原因なのかなって
3,まず調べました　で
4,僕が調べたサイトだと
5,色々あったんですけど
6,自分が興味惹かれたのは
7,メタボリックシンドロームと認知症が密接に関係がある
8,ということです
9,これは実際に論文とかでも紹介され
10,ていてこのメタボリック
11,シンドロームをなんとかできたら
12,認知症も間接的に緩和される
13,ということが報告されています
14,その対応と対策として
15,運動が特に挙げられてて
16,運動が認知症の予防にもなるということが
17,多くの論文で報告されていました
18,特にその運動の中でも頭
19,を使うスポーツ　結構
20,単純な動作のスポーツよりかは
21,例えば戦略とかを用いたスポーツの方が
22,認知症に効果が高いということがわかりました
23,ですので僕が提案させていただくのは
24,ゲートボールを
25,もうちょっと　なんていうんでしょうね
26,アクティブと言うか
27,もうちょっと活発なゲートボールに
28,できたらなと考えています
29,まずゲートボールをすごい
30,公園でやるイメージなんですけど
31,これはできたらですけど
32,もうちょっとフィールドを
33,専用のフィールドがあれば
34,いいのかなと　高低差があったりとか
35,そういった戦略も
36,しっかり組み立てられるような
37,フィールドがあったらいい
38,のかなと思ってます
39,であと自分これ知らなかったんですけど
40,ゲットボールってチーム戦らしくて
41,そのチーム戦を嫌って
42,ゲートボール人口が減っている
43,という記事もあって
44,そこは別にチームじゃなくても
45,個人での方が参入もしやすいし
46,より多くの人にゲートボールに
47,触れてもらえるのかなと
48,あとそのゲートボールってすごく
49,年寄りの印象が強いせいで若者がしにくい
50,その若者はいずれお年寄りになるんで
51,若者も若い間に
52,ゲートボールに触れる機会があったら
53,よりお年寄りになってからも
54,参入しやすいのかなと思ったんで
55,ちょっとこれ具体
56,的に思いつかなかったんですけど
57,若者へのゲートボールの魅力の発信と
58,かにも力を入れていけたらいいのかな
59,と考えました
60,とりあえずこんなところです
61,新規性っていうのがちょっと薄いんですけど
62,私は軽度認知障害の状態の人へのアプローチが大事なのかなと思って
63,これはちょっと信頼性が薄い
64,まとめサイトみたいなところのデータだったんですけど
65,軽度認知障害の段階
66,であれば通常の認知段階にまだ戻せる可能性がある
67,ということだったので
68,そこから
69,認知症に移行するまでの時間を長く
70,できたりとか
71,通常の認知状態に戻す方向にすれば
72,その認知症の絶対数が減っていくので
73,いいのかなと思って
74,まず診断された人に
75,軽度認知障害っていう
76,のは認知症になりうる
77,病気ですよって　でもちゃんと対策すれば
78,正しい正常な認知状態に戻れますよって
79,いうのをもう少しちゃんと伝えていくべきかなっていうのと　
80,本人が気づくよりも
81,周りが気づくことが多いと思うので
82,息子世代とかお年寄りばっかりでないと思うんですけど
83,子ども世代に例えば
84,健康診断のついでとかに
85,お宅の親御さんこういう症状はありませんか
86,みたいな
87,軽度認知障害についてをもっと
88,啓発していけば
89,病院にも連れて
90,行ってくれやすくなるのかなと思って
91,割とお年寄りって物忘れ多いじゃないですか
92,それってお年寄りだからしょうがないみたいな
93,みんな思ってるところがあって
94,そこが実際軽度認知障害とかの状態であれば
95,それぐらいでは病院って連れていかない
96,と思うので　でも
97,やっぱりあとのこと考えると
98,連れて行ってもらった方が
99,お互い社会的にも助かるし本人たちも助かると思うので
100,その段階で病院に連れて行ってくれるように　もっと
101,軽度認知障害について知ってもらうのが大事なのかなと思いました　以上です
102,じゃあ私も行きます
103,自分も調べていく中で
104,どうしていいかわからなくなってるんですけど
105,知らなかったこととして
106,結構認知症の人
107,多いっていう風に言われています
108,けどお年寄りの中でも三菱ufj
109,なんとかかんとか
110,の資料によると
111,65歳から69歳は2.2%
112,70歳から74歳は4.9%
113,で、75歳から79歳で
114,やっと10.9%になって
115,80歳から84歳で24.4%で
116,85歳以上になると55.5%なんですよ
117,半分以上やんと思ってめっちゃビビったんですけど
118,で関わりが深い疾患として
119,坂本さんがおっしゃられたメタボっていうのがあった
120,と思うけど私が見たところによると
121,糖尿病もっていう風になってたので
122,怖いなと思ったりとか　要介護
123,認定がつかない人たちが多分
124,軽度認知障害にかかわると思うんですけど
125,そういう人達が独居老人　老人と言うたら悪いですけどね
126,独居で暮らしとかがちゃんと口座のやりくり
127,お金の出し入れ光熱費払う買い物するが
128,できなくなってる
129,とかっていう風になってるっていう事があって
130,でもやっぱり半数以上が
131,自覚症状あっても1/4が生活
132,日常生活に支障っていうことは
133,そこまでちょっと差があるんだなって
134,いうことも感じたんですよね
135,で何も考えられないんですけど
136,ちょっと今思ったのが例えば
137,今までちゃんとできてた
138,代金とかを納入してた人が
139,だんだんやばくなっていくにつれて光熱
140,費が払えなくなったりとかがあるかなと思うんですけど
141,ヤバそうな
142,年代っていうのもちょっと偏見ちゃ偏見だけど
143,そのお金の出し入れ
144,とかをちゃんとできなくなってる人とかに
145,電力会社とかが
146,そういうふうに見て
147,払ってないんだけじゃなくて
148,ちょっとヤバくないかとか見回りを強化
149,するとかそういった仕組みが
150,あってもいいのかなという風に思いました
151,何も分かってないけど
152,以上です
153,確かに電力会社が見るってのもAIとか
154,用いてこの払ってないペースは
155,認知症ですみたいなとか
156,データは出せそうだけどね　認知症じゃなくてもお金がやばいってことは
157,生活に困窮し
158,てるから　
159,そうやね　確かに
160,軽度認知症への対応に　うん
161,認知症にならないための方策を
162,たぶん先輩がおっしゃってくれて
163,あやかちゃんが（あやかちゃんがって自分で言うのもアレだけど）
164,言ってくれたのは
165,軽度認知障害っていうのを
166,元に戻す　だから増やさないようにするね
167,私がなっちゃった人を
168,どうにかするていう方向性なのかな
169,と思うんです
170,そうよね確かに
171,どうしようかな
172,集約し
173,収斂されたプランを提示してください
