Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
0,00:00:01,00:00:03,,2,1440,3940
1,00:00:03,00:00:19,なんか自分がお金は,0,3956,19836
2,00:00:19,00:00:21,スノー,1,19848,21647
3,00:00:21,00:00:50,めちゃくちゃ 横道にあるか ジャズってやるから で人気は 出そうで売上を上げるためにはゲームとかグッズの展開ができる もしくは 聖地巡礼です 地域でお金を落とせるってどっちか買ってくべきかな と思ってやれる人かなと思って,1,21647,50982
4,00:00:50,00:01:14,めちゃイケの平成とか 令和って仲良く 戦争もない平和な時代と変われるから メカバトル ものとかよりも日常系アニメの方が人気が出るかな って思ってただその女子高生の無駄遣いとか ラジコン ボス 劇場とかそういうのは 出ちゃってるんでみんな中で納得しそうな物って科学的に通学路,1,50982,74984
5,00:01:14,00:01:43,でみんなあるけど入ったしあれ 東方の人もいれば バスとか電車の人もいるし 一人一人違うはずだからそういう小学生とか中学生 高校生大学生の通学路での無駄な会話だとかそういうのあるよね っていうのを あるあるみたいの アニメにできたら多分そんな市 夜間救急で見やすい し 1クールで収まるか 何て言うと,1,74984,103762
6,00:01:43,00:02:08,めちゃくちゃだと魔法少女系 たかもう 原型があるかなーって何となく思っててそこに茶道 ようそこへとしたらなんか 32歳ぐらいの OL が主人公の魔法少女まどかは行ってもいいかなと思ったけどそこはまだそんなにストーリーが深まらなかったかなーっていう感じです,1,103762,128448
7,00:02:08,00:02:30,多分 ゴールデンタイムが2名も 固定化されてるから そうそうじゃない 深夜枠かなーとか 時間帯は そんな感じかなって思いました 終わり,1,128448,150168
8,00:02:30,00:02:39,妹が今行ってくれたみたいな感じでメディアミックスは普通に欲しいなって思って 漫画とかスマホゲームとかが 同時 制作,2,150189,159863
9,00:02:39,00:03:08,ヒットしてるの 考えた時に 漫画 原作とかゲーム原作とかが多いけども 原作から考えるって言ったらなんかちょっと今感じと違うのかなというかちょっと難しいなって思ったのでメディアミックスでアニメ スタートでも 同時期で漫画とかスマホゲームとか 同時進行できればいいかなと思ってあとなんか今までヒットしてるの 考えた時に結構 オープニングがなんか流行ったなーって思ってオープニング曲,2,159863,188943
10,00:03:08,00:03:38,のキャッチー さとかいろんなとこで流したりとかそういうのは普通にヒットのために必要かなと言うか 夫婦として アリかなって思いました シナリオはあんまりちょっと思い浮かばなかったんですけど結構 王道な感じで考えて ヒットさせるっての次に結構もいいアニメ 最初から全部チェックしてるみたいな草よりは結構と言うかそこら辺を取り込むのが,2,188943,218016
11,00:03:38,00:04:07,ヒットってなったらいいのかな と思ったから 雨 ファンタジー 的 な 冒険ものみたいな感じでとか借りやすいローン 約何日かかりやすい感じがいいのかな っていう風に思いました お笑いあり涙あり 的な感じのでなんか私もなんか今 意見 聞いたんですけど その多分今けどなんか最初から見る人って たぶん 少なくて なんかして めっちゃ 人気 出るっていう感じかなと思ったから 一応完結 って結構,2,218016,247679
12,00:04:07,00:04:25,何かいいかなって 今聴いてて思ってまでも 止まったらちょっと 冒険ものとかはちょっと難しくなってくるかなと思うから 一応完結だったら まあ さっき言ってくれたら 日常物とかが入りやすいのかなーっていう感じでもいました ちょっと シナリオ とか,2,247679,265849
13,00:04:25,00:04:29,あんまり考えてないですけど,3,265863,269563
14,00:04:29,00:04:51,栃木 僕がいます ネットブックはなんかまずそのアニメーションが売れる条件みたいなの 調べてみたんですけど 嘘などにちょっとこれいいなと思ったのが やっぱり 時代背景をなが 今の時代に合ってる物って言う,3,269563,291313
15,00:04:51,00:05:18,そのポイントがきっちり 抑えられたらいいなと思って中 最初 AI とか思いついたんですけど なんか 昔からありがちな と思っ てき そこら辺はちょっとなしにして ちょっと思いついたのがはたらく細胞ってみんなはお子さんにしかね あのー 結構は何て言うか マクロファージとかそこら辺の 好中球とかそこら辺を擬人化して体の中の,3,291313,318003
16,00:05:18,00:05:27,何ていう インフルエンザウィルスとかに対抗するんだ そういう方面からのアクション漫画みたいな そういうの 結構面白いなぁと思ってて,3,318003,327373
17,00:05:27,00:05:49,漫画の中でもめちゃくちゃ なんか生物学科ですかみたいな感じは結構詳しい解説とかもあるんで それが売れてるのがちょっと 僕としては以外でそういう真面目なものが売れる為にはそういうアクションを取り入れてとか擬人化するっていうポイントが大事なんかなと思って,3,327373,349533
18,00:05:49,00:06:15,じゃあ何か僕のちょっと興味分野と絡めて 環境問題をそのインフルエンザウィルスとかそこら辺に置き換えて 擬人化 できたらいいなと思ったんですけど なんか 細胞と違うところが 自然でいろんな動物とか植物とかファクターがありすぎて 一律に,3,349533,375063
19,00:06:15,00:06:37,車 内気循環するのはまずいなと思ってもう何ていうシンプルに問題解決 環境問題解決のプロが主人公で世界各国を飛び回ってなんか全部解決しましたみたいな そういうのでもいいのかな と思っています だいたい,3,375063,397413
20,00:06:37,00:07:03,はたらく細胞 5で寿司 大体 刑事ものとかも共通してんの が 結局最後は秩序を守られるっていう そういうポイントを重要視するんだったらなんか行く先々で問題解決しました 砂漠化問題解決しました 後で最新の結構 固いと解決策を おもしろおかしく,3,397413,423713
21,00:07:03,00:07:07,できたら ちょっと合わない,3,423713,427643
22,00:07:07,00:07:14,クライシス,2,427655,434015
23,00:07:14,00:07:17,自分も,4,434031,437692
24,00:07:17,00:07:46,最初 売上 考えた時にどこを狙うかって考えたらま 20台とかその辺のお金持ってる層を狙うのだとしたらやっぱり 深夜枠のアニメ かなって思ったんですけど それよりはやっぱり そのまさき アニメがなんとなく着てると受け入れられてるようにも感じるので,4,437692,466479
25,00:07:46,00:08:15,それだったらそれに対応してよ りらいとそうと言うか 若いそうで 20台よりもさらに若い10代とかファミリーで受け入れられてもらえるようなそのわかりやすさを重視したっていうか なるべく 万人に受けるようなもの の方がいいのかな と思いました,4,466479,495501
26,00:08:15,00:08:26,メール 今行ったら 毀滅のやめてくれるのかな わからないけど そういった方の路線で,4,495501,506451
27,00:08:26,00:08:47,まず見てもらうっていう面で映像が綺麗じゃないとやっぱり気ないのかな 最近のアニメ はっていう絵の美しさを混じるし 知ってて ストーリーはま一話完結,4,506451,527311
28,00:08:47,00:09:11,今万人に受け入れられる わかりやすい 展開 て考えたらまあ 主人公とその目標はそれが自分の中で決まってないんですけど それが何か明確に行った方がいいのかな ちょっと前で言ったらその海賊王になるだとかは 今でいったらその家族という 妹を助けるたいな,4,527311,551131
29,00:09:11,00:09:35,そういう わかりやすいおっきい 目標があってそれに向かうために 1は1は何かしら 問題と言うか 困難に立ち向かっていく みたいな構成にしたほうがいいのかな と思いました,4,551131,575791
30,00:09:35,00:09:42,,0,575808,582020
31,00:09:42,00:10:11,自分を考えた時にはどこ向け かって考えたら大人と子供で展開できるグッズが違う なんていう風に思ったんですけど大人とかの方が多分13 終わって1クールだったら まあ子供が好きなような商品を展開できないと思ったので 大人向けという風に搾らせて頂いた時にターゲットとしては穴が アニメの企画書は困難です みたいなのに乗っていって書いたので,0,582020,611632
32,00:10:11,00:10:30,適当 テキトーなんですけど ターゲットとしては 何かこう 現代人って多分 疲れてて誰も褒めてくれないので誰も褒めてくれないのでなんかこそ 癒したい人たちになんかこ ビューネくんみたいに 竹内涼真がなんか,0,611632,630168
33,00:10:30,00:10:31,,3,630180,631160
34,00:10:31,00:10:38,あんな感じのやつかなっていうふうに思ってね その30分なので,0,631180,638380
35,00:10:38,00:11:08,30分なので達が勝手に考えたとか1回あたり15分ずつかける2とか出てきたらいいかなと思ったよ でやることとしては 何かこう 主人公というか その相手が一人でてきてその人がはイケメンが可愛いかなんか来そうでなくても癒されるかなんかそんな感じの人が とにかく 失敗したとか成功したとかいろんなことがあった時に褒めてくれる,0,638380,668550
36,00:11:08,00:11:25,アニメの中のそれわかんないけど感じでそれで癒しをくれて最後に頑張ったね みたいな感じでご飯を出してくれる話っていうのを考えてます 世界をターゲットとしてはまあ,0,668550,685740
37,00:11:25,00:11:39,40台ぐらいまでの なんか疲れてる人ではなんかアニメなので イケボ みたいなところが 自己中なのかなと思ってイケボな,0,685740,699680
38,00:11:39,00:11:56,化粧した株価とか彼氏とか彼女とか知らんけどみたいな感じでなんかこうなんか料理を出す みたいな最後 やったんですけど これをすることによって5キャラクターグッズだけじゃなくて こうレシピ本とかあとコラボカフェ,0,699680,716700
39,00:11:56,00:12:25,仕込んどいたよ みたいな商品戦略とかあと コンビニとかで コラボ商品 出したら あれねみたいな感じでこう経済効果が狙えるんじゃないかな っていう風に思いました 以上です,0,716700,745720
40,00:12:25,00:12:34,結果,0,745720,754280
41,00:12:34,00:12:35,笑笑,4,754288,755448
42,00:12:35,00:12:37,なんか 王道,1,755460,757800
43,00:12:37,00:12:53,大きい蒸すのファンタジーとかで行くのか そういう日常 なんか二人が上げてくれたみたい 日常系で行くのかは 何か最初に決めておきたいと言うか変わって ちょっと怒ったそう,2,757824,773164
44,00:12:53,00:12:56,ターゲット どこにいる,4,773180,776240
45,00:12:56,00:13:01,20代ぐらいの疲れている人とか,3,776256,781016
46,00:13:01,00:13:05,飛行機に大人でしたもんね,0,781040,785060
47,00:13:05,00:13:10,確かにすごいよね 話,1,785076,790436
48,00:13:10,00:13:14,確かに,4,790448,794328
49,00:13:14,00:13:18,映像とか見たことある 硬い 日常,0,794348,798548
50,00:13:18,00:13:29,夕方に来たから NHK,1,798564,809324
51,00:13:29,00:13:30,NHK かと 思って,0,809344,810684
52,00:13:30,00:13:31,,4,810696,811756
53,00:13:32,00:13:34,最近 ドライ,4,812272,814112
